"Record ID","Deal Name","Campaign Brand","Campaign Retailers","Budget","Deal Stage","Pipeline","Associated Company","Associated Company (Primary)","Associated Company IDs","Associated Company IDs (Primary)"
"38214000717","ADRM_P&G_Bounty Summer Grilling_All GLBs_July - Sept 2025","P&G","Giant, Stop & Shop","75000.0","Incoming","PathX Projects","Vibenomics","Vibenomics","18125926450","18125926450"
"38134718272","Naked Juice|Flywheel Digital|Naked Juice rebrand|Q3-Q4 - 006Rd00000M7o1qIAB","naked lunch","Walmart, Kroger, Albertsons, Publix","75000.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"38156882543","cirK2325 Pepsico | Circle K | Summer | CSD + Frito | Phase 1 | Q2 - Q3 '25 @ CircleK","Pepsi, Starry, Mountain Dew","Circle K","150000.0","Incoming","PathX Projects","Pathformance","Pathformance","17822166284","17822166284"
"38211688612","Pure Leaf Q4 2025","Pure Leaf","Kroger, Giant Eagle Market, Meijer","100000.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"38139123033","Bush's Blue Label 2026","Bush's","xAOC","540000.0","Incoming","PathX Projects","Chicory","Chicory","33794282076","33794282076"
"38128649850","Welch's","Welch's Sparkling","Other","526000.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"38117312133","FY25 Neuriva 3D Launch","Neuriva","Walmart, CVS, Walgreens","411042.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"38049975346","Stella Rosa Fall Campaign","Stella Rosa","xAOC","50000.0","Incoming","PathX Projects","Chicory","Chicory","33794282076","33794282076"
"38047760552","GT's Living Food - Aura Collagen Tea Support","GT's Living Food (Aura Collagen Tea)","Albertsons, Vons, Safeway, Pavilions","50000.0","Incoming","PathX Projects","Chicory","Chicory","33794282076","33794282076"
"37882017710","Danone","Stok Cold Brew Coffee & International Delight Cold Foam","Shaws","0.0","Incoming","PathX Projects","Stingray Group Inc","Stingray Group Inc","19492036400","19492036400"
"37867299873","Jolly Time at Walmart","Jolly Time","Walmart","1750000.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"37725992055","MadeGood|Client Direct|Oat Cups Launch|Q2'25 - 006Rd00000LDT89IAH","Made Good Foods","Walmart","75000.0","Incoming","PathX Projects","inMarket","inMarket","17250331280","17250331280"
"37642025779","Del Monte Fruit Cups","Del Monte","xAOC","50000.0","Incoming","PathX Projects","Del Monte Foods, Inc.;Chicory","Chicory","17822212462;33794282076","33794282076"
"37627339386","PathX Example Campaign","Yogurt Brand","Whole Foods","50000.0","Closed Lost","PathX Projects","Pathformance","Pathformance","17822166284","17822166284"
"37577502576","Nabisco Holiday Scale at Publix","RITZ, OREO, Honey Maid, Triscuit, Chips Ahoy!","Publix","50000.0","Incoming","PathX Projects","Chicory;Nabisco","Chicory","33794282076;33810829427","33794282076"
"37551346799","Overdrive 2026 Wisconsin Cheese","","","","Awareness (new)","Enterprise","Overdrive Interactive","Overdrive Interactive","32167317101","32167317101"
"37532632240","Alcon","Systane","Costco","150000.0","Incoming","PathX Projects","Alcon Inc.;inMarket","inMarket","33764150143;17250331280","17250331280"
"37525190495","Almond Board of California","California Almond Commodity Board","xAOC","350000.0","Incoming","PathX Projects","Chicory;Almond Board of California","Chicory","33794282076;33796517758","33794282076"
"37508095106","CMX_Lifescan_June2025","Lifescan Technologies (Viero OneTouch)","CVS","50000.0","Incoming","PathX Projects","LifeScan;Vibenomics","Vibenomics","33755604389;18125926450","18125926450"
"37454669403","Belgioioso Version Albertsons","Belgioioso","Albertsons","50000.0","Incoming","PathX Projects","BelGioioso;Pathformance","Pathformance","33718994544;17822166284","17822166284"
"37448200804","Jack Daniel's|Client Direct|JD F1|Q4 - 006Rd00000MBfhVIAT","Jack Daniels","Convenience Channel, Food Channel","50000.0","Incoming","PathX Projects","Brown-Forman;Jack Daniel's;inMarket","inMarket","33749464947;33751323485;17250331280","17250331280"
"37428688432","Vitafusion Back to School at Walmart","Vitafusion","Walmart","100000.0","Incoming","PathX Projects","Vitafusion;inMarket","inMarket","33751168064;17250331280","17250331280"
"37437886904","ABI - Nielsen - Food Lion - Main Dataset","ABI","Food Lion","1.0","Closed Won Active","PathX Projects","Anheuser Busch Inc;Pathformance","Pathformance","19469940247;17822166284","17822166284"
"37436184224","Q2 2025 CELSIUS Publix Support Campaign","Celsius","Publix","70000.0","Closed Won Active","PathX Projects","CELSIUS;inMarket","inMarket","33774251020;17250331280","17250331280"
